Sl_No,Restaurant_Name,Restaurant_Number,Restaurant_Address,City,State,ZipCode,TripAdvisor_Rating,TripAdvisor_Rating_Count,Foursquare_Rating
1,Harand USA,(310) 473-8990,11769 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,NA
2,Pastina Restaurant,(310) 441-4655,2260 Westwood Blvd,Los Angeles,CA,90064,4.5,54,6.8
3,Vinoteque,(310) 860-6060,7469 Melrose Ave,Los Angeles,CA,90046,NA,NA,NA
4,Don Chuy's Restaurant,(310) 398-9606,11707 Washington Pl,Los Angeles,CA,90066,NA,NA,NA
5,Veggie Grill,(323) 822-7575,8000 W Sunset Blvd,Los Angeles,CA,90046,4.5,214,8.25
6,"The Stand ""American Classics Redefined""",(310) 785-0400,2000 Avenue Of The Stars,Los Angeles,CA,90067,4.5,12,6.32
7,Corner Bakery Cafe,(310) 824-1314,1019 Westwood Blvd,Los Angeles,CA,90024,4.0,56,7.07
8,Atlacatl Restaurant,(323) 663-1404,301 N Berendo St,Los Angeles,CA,90004,4.0,19,7.91
9,Santino's Restaurant,(323) 464-8260,1253 Vine St Ste 9,Los Angeles,CA,90038,NA,NA,NA
10,Renaissance Restaurant,(323) 960-3100,5930 Franklin Ave,Los Angeles,CA,90028,NA,NA,NA
11,The Good Pizza,(310) 215-1883,7929 Emerson Ave,Los Angeles,CA,90045,4.0,6,NA
12,Headlines Diner & Press Club,(310) 208-2424,10922 Kinross Ave,Los Angeles,CA,90024,4.5,20,NA
13,Bel Air Bar & Grill,(310) 440-5544,612 N Sepulveda Blvd,Los Angeles,CA,90049,NA,NA,NA
14,El Salsabor Restaurant,(323) 266-1400,522 S Lorena St,Los Angeles,CA,90063,4.0,2,NA
15,The Confection Co-op,(323) 467-1080,1200 N Highland Ave,Los Angeles,CA,90038,NA,NA,NA
16,El Asador Restaurant,(213) 387-8220,1225 Venice Blvd,Los Angeles,CA,90006,NA,NA,NA
17,Upstairs 2,(310) 231-0316,2311 Cotner Ave,Los Angeles,CA,90064,NA,NA,7.43
18,Sansui Restaurant,(323) 660-3868,2040 Hillhurst Ave,Los Angeles,CA,90027,NA,NA,NA
19,The Hart and the Hunter,(323) 424-3055,7950 Melrose Ave,Los Angeles,CA,90046,4.0,68,NA
20,Fuddruckers,(310) 277-7756,10250 Santa Monica Blvd,Los Angeles,CA,90067,NA,NA,NA
21,WP24,(213) 743-8824,900 W Olympic Blvd,Los Angeles,CA,90015,4.0,303,NA
22,Orchid Bar|Kitchen,(213) 784-3048,819 S Flower St,Los Angeles,CA,90017,NA,NA,7.8
23,California Pizza Kitchen,(310) 209-9197,1001 Broxton Ave,Los Angeles,CA,90024,4.0,54,7.47
24,Industriel,(213) 488-8020,609 S Grand Ave,Los Angeles,CA,90017,NA,NA,NA
25,Ciro's Restaurant,(323) 269-5104,705 N Evergreen Ave,Los Angeles,CA,90033,NA,NA,NA
26,Breadsticks Restaurant,(310) 271-0498,8570 W 3rd St,Los Angeles,CA,90048,NA,NA,NA
27,Javan Restaurant,(310) 207-5555,11500 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,6.61
28,Fabrocini's-Beverly Glen,(310) 475-7404,2960 N Beverly Glen Cir,Los Angeles,CA,90077,4.5,48,7.01
29,Taix French Restaurant,(213) 484-1265,1911 W Sunset Blvd,Los Angeles,CA,90026,4.5,137,7.89
30,Picca,(310) 277-0133,9575 W Pico Blvd,Los Angeles,CA,90035,NA,NA,NA
31,New Battambang Restaurant,(213) 620-9015,648 New High St,Los Angeles,CA,90012,NA,NA,NA
32,Zermeno's Restaurant,(323) 467-1202,6115 Santa Monica Blvd,Los Angeles,CA,90038,4.5,4,6.64
33,The Grill On The Alley,(323) 466-5577,6801 Hollywood Blvd Ste 90028,Los Angeles,CA,90028,NA,NA,7.12
34,Chick 'N Chow,(310) 274-5595,9301 W Pico Blvd,Los Angeles,CA,90035,NA,NA,NA
35,Johnny Rockets,(310) 788-9020,10250 Santa Monica Blvd,Los Angeles,CA,90067,NA,NA,NA
36,Soleil Westwood,(310) 441-5384,1386 Westwood Blvd,Los Angeles,CA,90024,NA,NA,NA
37,Westwood Pizzeria,(310) 443-0123,10974 Le Conte Ave,Los Angeles,CA,90024,5.0,1,NA
38,That Pizza Place,(310) 475-3888,11907 W Olympic Blvd,Los Angeles,CA,90064,4.5,7,NA
39,Fundamental La,(310) 444-7581,1303 Westwood Blvd,Los Angeles,CA,90024,4.5,54,NA
40,La Morenita Restaurant,(323) 221-1687,2620 N Broadway,Los Angeles,CA,90031,NA,NA,NA
41,Desert Rose,(323) 666-1166,1700 Hillhurst Ave,Los Angeles,CA,90027,4.0,45,7.55
42,Corner Place Restaurant,(213) 487-0968,2819 James M Wood Blvd,Los Angeles,CA,90006,4.0,17,8.53
43,Louise's Trattoria,(323) 962-9510,232 N Larchmont Blvd,Los Angeles,CA,90004,4.5,39,6.56
44,Carolina's Restaurant,(323) 257-1437,6011 N Figueroa St,Los Angeles,CA,90042,NA,NA,NA
45,El Pescador Restaurant,(323) 223-8866,2910 Division St,Los Angeles,CA,90065,NA,NA,NA
46,The Tower Bar,(323) 848-6677,8358 W Sunset Blvd,Los Angeles,CA,90069,4.5,326,NA
47,Nirvana Restaurant,(213) 625-0066,314 E 1st St,Los Angeles,CA,90012,4.0,2,6.27
48,H K Barbeque,(213) 680-1826,323 E 1st St,Los Angeles,CA,90012,4.0,14,6.07
49,Brite Spot,(213) 484-9800,1918 W Sunset Blvd,Los Angeles,CA,90026,3.5,55,7.58
50,Sa Rit Gol Restaurant,(323) 732-8000,1144 S Western Ave,Los Angeles,CA,90006,NA,NA,NA
51,Sushi Ajito,(323) 466-2460,1302 N Highland Ave,Los Angeles,CA,90028,4.5,7,6.31
52,Sizzler,(323) 467-2353,1323 N Highland Ave,Los Angeles,CA,90028,NA,NA,NA
53,Fiddler's Bistro,(323) 931-8167,6009 W 3rd St,Los Angeles,CA,90036,NA,NA,NA
54,Marathon Restaurant,(323) 938-4243,1043 S Fairfax Ave,Los Angeles,CA,90019,4.0,2,NA
55,Mary & Robb's Restaurant,(310) 478-3822,1453 Westwood Blvd,Los Angeles,CA,90024,4.5,57,7.24
56,Roscoe's House of Chicken and Waffles,(323) 466-7453,1514 N Gower St,Los Angeles,CA,90028,4.0,839,8.72
57,El Rinconcito Del Mar,(323) 269-8723,2908 E 1st St,Los Angeles,CA,90033,4.0,5,5.77
58,All'Angolo,(213) 368-7888,4050 W 3rd St,Los Angeles,CA,90020,4.5,10,7.85
59,Chin Chin,(310) 826-2525,11740 San Vicente Blvd Ste 201,Los Angeles,CA,90049,3.5,37,6.94
60,Momo Korean Bar-B-Q,(323) 268-5225,1720 S Soto St,Los Angeles,CA,90023,NA,NA,NA
61,El Borrego De Oro,(323) 780-1132,2808 E Washington Blvd,Los Angeles,CA,90023,NA,NA,NA
62,King Taco,(323) 264-4067,4504 E 3rd St,Los Angeles,CA,90022,4.0,40,8.48
63,El Gavilan Restaurant,(323) 752-4792,110 E 62nd St,Los Angeles,CA,90003,NA,NA,NA
64,El Floridita,(323) 871-8612,1253 Vine St,Los Angeles,CA,90038,3.5,37,6.26
65,800 Degrees Neapolitan Pizzeria,(310) 443-1911,10889 Lindbrook Dr,Los Angeles,CA,90024,4.0,182,NA
66,Honey Bee's House of Breakfast,(323) 731-7203,4715 W Adams Blvd,Los Angeles,CA,90016,4.5,20,7.19
67,Golden Bird,(323) 732-1228,2847 Crenshaw Blvd,Los Angeles,CA,90016,NA,NA,NA
68,Mel's Drive In,(323) 465-2111,1650 N Highland Ave,Los Angeles,CA,90028,4.0,1019,NA
69,The Park's Finest,(213) 481-2800,1267 W Temple St,Los Angeles,CA,90026,4.0,61,8.31
70,The Slice,(310) 437-7499,13151 Fountain Park Dr Ste B,Los Angeles,CA,90094,3.5,2,6.96
71,Lanaranja,(323) 221-5923,2333 Daly St,Los Angeles,CA,90031,NA,NA,7.76
72,El Atacor Restaurant,(323) 441-8477,2622 N Figueroa St,Los Angeles,CA,90065,NA,NA,NA
73,Kailey's Restaurant,(323) 343-9320,3600 N Broadway,Los Angeles,CA,90031,NA,NA,NA
74,Los Feliz Cafe,(323) 661-2355,3207 Los Feliz Blvd,Los Angeles,CA,90039,4.0,12,7.86
75,Malibu Fish Grill,(323) 692-0000,6803 Melrose Ave,Los Angeles,CA,90038,3.5,10,8.3
76,Le Oriental Bistro,(323) 462-3388,1710 N Highland Ave,Los Angeles,CA,90028,4.0,58,7.34
77,Mr Fish & Mex Grill,(323) 290-0801,4949 W Slauson Ave,Los Angeles,CA,90056,NA,NA,7.03
78,Wacky Wok,(310) 670-0071,8919 S Sepulveda Blvd,Los Angeles,CA,90045,4.0,28,6.0
79,The Morrison,(323) 667-1839,3179 Los Feliz Blvd,Los Angeles,CA,90039,4.5,101,8.59
80,Fred 62,(323) 667-0062,1850 N Vermont Ave,Los Angeles,CA,90027,4.0,174,7.69
81,Food,(310) 441-7770,10571 W Pico Blvd,Los Angeles,CA,90064,4.5,30,8.2
82,Las Galas,(213) 687-4811,103 Japanese Village Plaza Mall,Los Angeles,CA,90012,3.5,14,6.04
83,Genghis Cohen,(323) 653-0640,740 N Fairfax Ave,Los Angeles,CA,90046,4.0,94,NA
84,Garden Cafe,(323) 951-1234,6420 Wilshire Blvd,Los Angeles,CA,90048,NA,NA,5.77
85,India's Oven,(310) 207-5522,11645 Wilshire Blvd Ste 200,Los Angeles,CA,90025,3.5,23,7.16
86,Tila's Kitchen,(323) 264-5513,3909 Whittier Blvd,Los Angeles,CA,90023,NA,NA,NA
87,Twin Dragon,(310) 657-7355,8597 W Pico Blvd,Los Angeles,CA,90035,4.0,34,6.98
88,Coco Ichibanya,(310) 479-1333,12007 Wilshire Blvd,Los Angeles,CA,90025,4.5,5,6.43
89,Rio Restaurant,(323) 223-5693,2207 N San Fernando Rd,Los Angeles,CA,90065,NA,NA,NA
90,Toad Restaurant,(323) 460-7037,4503 Beverly Blvd,Los Angeles,CA,90004,NA,NA,NA
91,Cindy's Restaurant,(323) 257-7375,1500 Colorado Blvd,Los Angeles,CA,90041,NA,NA,7.19
92,Osteria Mamma,(323) 284-7060,5732 Melrose Ave,Los Angeles,CA,90038,4.5,131,7.84
93,The Original Pancake House,(310) 645-0456,6521 S Sepulveda Blvd,Los Angeles,CA,90045,NA,NA,NA
94,Restaurant Bahia Ensenada,(323) 261-9569,2605 E Cesar E Chavez Ave,Los Angeles,CA,90033,NA,NA,NA
95,59th & Lex Cafe,(310) 772-7178,10250 Santa Monica Blvd  Inside Bloomingdale's,Los Angeles,CA,90067,4.0,2,NA
96,Loteria Grill,(323) 465-2500,6627 Hollywood Blvd,Los Angeles,CA,90028,4.0,227,NA
97,La Estrella Restaurant,(323) 266-4349,940 S Lorena St,Los Angeles,CA,90023,4.0,2,7.16
98,Palomino Euro-Bistro,(310) 208-1960,10877 Wilshire Blvd,Los Angeles,CA,90024,NA,NA,NA
99,Maria's Italian Kitchen,(310) 476-6112,11723 Barrington Ct,Los Angeles,CA,90049,NA,NA,6.24
100,Guadalajara Carnitas,(323) 266-5648,2735 E Cesar E Chavez Ave,Los Angeles,CA,90033,NA,NA,NA
101,Gus Jr,(323) 235-3713,4001 S San Pedro St,Los Angeles,CA,90011,NA,NA,NA
102,Delancey,(323) 469-2100,5936 W Sunset Blvd,Los Angeles,CA,90028,4.0,70,NA
103,Yekta Restaurant,(310) 444-9422,11925 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,NA
104,Toscana,(310) 820-2448,11633 San Vicente Blvd,Los Angeles,CA,90049,4.0,86,8.65
105,Il Moro,(310) 575-3530,11400 W Olympic Blvd Ste 160,Los Angeles,CA,90064,4.5,57,7.91
106,Madeo Restaurant,(310) 859-4903,8897 Beverly Blvd,Los Angeles,CA,90048,4.5,338,8.58
107,Casa Sanchez,(310) 397-9999,4500 S Centinela Ave,Los Angeles,CA,90066,4.5,131,NA
108,Shabu Shabu House Restaurant,(213) 680-3890,127 Japanese Village Plaza Mall,Los Angeles,CA,90012,4.5,76,6.97
109,Louigi's Italian Kitchen,(310) 477-4500,1644 Sawtelle Blvd,Los Angeles,CA,90025,4.0,30,5.43
110,A.O.C.,(310) 859-9859,8700 W 3rd St,Los Angeles,CA,90048,4.5,453,8.98
111,Juquila Restaurant,(310) 312-1079,11619 Santa Monica Blvd,Los Angeles,CA,90025,4.0,7,6.4
112,D'Amore's Pizza,(323) 951-0070,8369 W 3rd St,Los Angeles,CA,90048,4.0,6,8.03
113,Son of a Gun,(323) 782-9033,8370 W 3rd St,Los Angeles,CA,90048,4.5,199,8.65
114,Islands,(310) 474-1144,10948 W Pico Blvd,Los Angeles,CA,90064,4.0,25,NA
115,Chicharroland Restaurant,(323) 232-8850,4714 S Main St,Los Angeles,CA,90037,NA,NA,NA
116,Acajutla Restaurant,(323) 232-5410,608 E 59th St,Los Angeles,CA,90001,NA,NA,NA
117,El Quezalteco Restaurant,(323) 766-8700,3304 W Jefferson Blvd,Los Angeles,CA,90018,NA,NA,NA
118,Sultani Restaurant,(323) 876-3389,1535 N La Brea Ave,Los Angeles,CA,90028,NA,NA,5.4
119,Versailles Cuban Food,(310) 558-3168,10319 Venice Blvd,Los Angeles,CA,90034,NA,NA,8.59
120,Enzo's Pizzeria,(310) 208-3696,10940 Weyburn Ave,Los Angeles,CA,90024,4.0,34,7.25
121,Prado Restaurant,(323) 467-3871,244 N Larchmont Blvd,Los Angeles,CA,90004,NA,NA,NA
122,Saddle Ranch Chop House,(323) 656-2007,8371 W Sunset Blvd,Los Angeles,CA,90069,4.5,1788,7.94
123,Rock Sugar Pan Asian Kitchen,(310) 552-9988,10250 Santa Monica Blvd,Los Angeles,CA,90067,NA,NA,NA
124,Terroni,(323) 954-0300,7605 Beverly Blvd,Los Angeles,CA,90036,4.0,247,8.92
125,Saffron Downtown Los Angeles,(213) 488-9754,505 S Flower St,Los Angeles,CA,90071,4.0,6,6.72
126,Della Terra,(323) 933-7675,7675 Beverly Blvd,Los Angeles,CA,90036,4.0,62,NA
127,Boda Restaurant,(323) 227-8573,2310 Pasadena Ave,Los Angeles,CA,90031,4.0,1,NA
128,King Taco,(323) 264-9051,4300 E Olympic Blvd,Los Angeles,CA,90023,NA,NA,7.72
129,Philly West Bar & Grill,(310) 474-9787,1870 Westwood Blvd,Los Angeles,CA,90025,4.5,7,NA
130,Seoul House of Tofu,(310) 444-9988,2101 Sawtelle Blvd,Los Angeles,CA,90025,4.0,30,6.69
131,Home Restaurant,(323) 665-0211,2500 Riverside Dr,Los Angeles,CA,90039,NA,NA,NA
132,Jitalda Rest,(323) 667-9809,5233 1/2 W Sunset Blvd,Los Angeles,CA,90027,NA,NA,8.91
133,Marino,(323) 466-8812,6001 Melrose Ave,Los Angeles,CA,90038,4.5,97,8.47
134,Pizzicotto,(310) 442-7188,11758 San Vicente Blvd,Los Angeles,CA,90049,4.5,98,NA
135,Jeff's Gourmet Kosher Sausage Factory,(310) 858-8590,8930 W Pico Blvd,Los Angeles,CA,90035,4.5,81,7.87
136,Billingsley's Restaurant,(310) 477-1426,11326 W Pico Blvd,Los Angeles,CA,90064,3.5,47,8.09
137,Best Fish Taco In Ensenada,(323) 466-5552,1650 Hillhurst Ave,Los Angeles,CA,90027,4.5,74,7.65
138,Park's BBQ,(213) 380-1717,955 S Vermont Ave,Los Angeles,CA,90006,4.5,126,9.05
139,Craft,(310) 279-4180,10100 Constellation Blvd,Los Angeles,CA,90067,4.5,511,NA
140,Restaurant Komasa,(213) 680-1792,351 E 2nd St,Los Angeles,CA,90012,4.5,36,7.96
141,Pan American Restaurant,(213) 386-2083,2601 W Temple St,Los Angeles,CA,90026,NA,NA,NA
142,Red O,(323) 655-5009,8155 Melrose Ave,Los Angeles,CA,90046,NA,NA,7.94
143,Foo-Chow Restaurant,(213) 485-1294,949 N Hill St,Los Angeles,CA,90012,4.0,37,7.28
144,Choeng Wun Restaurant,(323) 465-7590,944 N Western Ave,Los Angeles,CA,90029,4.5,3,NA
145,Natalie Peruvian Seafood Restaurant,(323) 463-8340,5759 Hollywood Blvd,Los Angeles,CA,90028,4.0,23,7.32
146,Rosalind's Ethiopian Restaurant,(323) 936-2486,1044 S Fairfax Ave,Los Angeles,CA,90019,4.5,36,8.21
147,Malibu Fish Grill,(323) 650-7700,8000 W Sunset Blvd,Los Angeles,CA,90046,NA,NA,NA
148,La Bruschetta Ristorante,(310) 477-1052,1621 Westwood Blvd,Los Angeles,CA,90024,4.5,71,6.6
149,Cheng Du Restaurant,(310) 477-4917,11538 W Pico Blvd,Los Angeles,CA,90064,4.0,23,7.93
150,Farfalla Trattoria Inc,(323) 661-7365,1978 Hillhurst Ave,Los Angeles,CA,90027,4.0,76,7.5
151,Wood & Vine,(323) 334-3360,6280 Hollywood Blvd,Los Angeles,CA,90028,4.0,189,7.45
152,Shakey's Pizza Parlor,(323) 663-2145,5170 W Sunset Blvd,Los Angeles,CA,90027,4.0,17,NA
153,Magnolia Hollywood,(323) 467-0660,6266 W Sunset Blvd,Los Angeles,CA,90028,NA,NA,NA
154,Tanino Restaurant,(310) 208-0444,1043 Westwood Blvd,Los Angeles,CA,90024,NA,NA,6.54
155,Truxton's American Bistro,(310) 417-8789,8611 Truxton Ave,Los Angeles,CA,90045,4.5,268,8.64
156,Buffalo Wild Wings,(323) 466-1721,7060 Hollywood Blvd,Los Angeles,CA,90028,3.5,298,6.99
157,El Compadre Restaurant,(323) 751-7148,233 E Florence Ave,Los Angeles,CA,90003,5.0,1,NA
158,Nanban-Kan Restaurant,(310) 478-1591,11330 Santa Monica Blvd,Los Angeles,CA,90025,4.0,44,8.06
159,Paraiso Restaurant,(213) 625-7845,115 W 3rd St,Los Angeles,CA,90013,NA,NA,NA
160,La Victoria Restaurant,(213) 748-2682,3311 S Main St,Los Angeles,CA,90007,NA,NA,NA
161,Eva's Lechon & Deli,(213) 383-3179,4252 W 3rd St,Los Angeles,CA,90020,5.0,3,NA
162,L&L Hawaiian Barbecue,(323) 259-8888,4430 York Blvd,Los Angeles,CA,90041,3.5,3,5.74
163,Kim's Restaurant,(323) 294-6677,3860 Crenshaw Blvd,Los Angeles,CA,90008,5.0,2,6.2
164,All American Sausage Co,(323) 933-9600,189 The Grove Dr,Los Angeles,CA,90036,NA,NA,NA
165,Hop Woo,(310) 575-3668,11110 W Olympic Blvd,Los Angeles,CA,90064,3.5,26,NA
166,On The Border Mexican Grill & Cantina,(310) 665-9445,400 World Way,Los Angeles,CA,90045,NA,NA,NA
167,Little Dom's,(323) 661-0055,2128 Hillhurst Ave,Los Angeles,CA,90027,4.0,189,8.8
168,Full House Seafood Restaurant,(213) 617-8382,963 N Hill St,Los Angeles,CA,90012,4.0,33,7.19
169,Bandera,(310) 477-3524,11700 Wilshire Blvd,Los Angeles,CA,90025,NA,NA,NA
170,The Cheesecake Factory,(323) 634-0511,189 The Grove Dr,Los Angeles,CA,90036,4.5,1917,7.96
171,Musso & Frank Grill,(323) 467-7788,6667 Hollywood Blvd,Los Angeles,CA,90028,4.5,1271,8.79
172,L & E Oyster Bar,(323) 660-2255,1637 Silver Lake Blvd,Los Angeles,CA,90026,4.5,30,8.84
173,Callender's Grill,(323) 937-7952,5773 Wilshire Blvd,Los Angeles,CA,90036,4.0,17,NA
174,Woody's BBQ,(323) 758-8303,1958 W Florence Ave,Los Angeles,CA,90047,NA,NA,NA
175,El Tapatio Restaurant,(323) 266-2931,2049 E Cesar E Chavez Ave,Los Angeles,CA,90033,NA,NA,NA
176,Greenwich Village Pizza,(213) 973-4371,512 E Washington Blvd,Los Angeles,CA,90015,NA,NA,NA
177,Carney's Restaurant,(323) 654-8300,8351 W Sunset Blvd,Los Angeles,CA,90069,4.5,516,8.83
178,Trimana,(310) 445-4044,11755 Wilshire Blvd Ste 30,Los Angeles,CA,90025,NA,NA,NA
179,House of Pies,(323) 666-9961,1869 N Vermont Ave,Los Angeles,CA,90027,4.0,124,8.01
180,Papa Cristo's Taverna,(323) 737-2970,2771 W Pico Blvd,Los Angeles,CA,90006,NA,NA,8.69
181,Daikokuya,(213) 626-1680,327 E 1st St,Los Angeles,CA,90012,4.5,86,8.21
182,Bestia,(213) 514-5724,2121 E 7th Pl,Los Angeles,CA,90021,4.5,630,9.27
183,Silver Lake Ramen,(323) 660-8100,2927 W Sunset Blvd,Los Angeles,CA,90026,4.5,74,8.6
184,Mandarin Kitchen,(310) 441-9651,1822 Westwood Blvd,Los Angeles,CA,90025,NA,NA,NA
185,Perch,(213) 802-1770,448 S Hill St,Los Angeles,CA,90013,4.5,950,8.94
186,Hakata Ramen Shin-Sen-Gumi,(213) 687-7108,132 S Central Ave,Los Angeles,CA,90012,4.5,86,8.34
187,Allacqua,(323) 663-3280,3280 Glendale Blvd,Los Angeles,CA,90039,4.0,41,8.74
188,Donut Friend,(213) 995-6191,5107 York Blvd,Los Angeles,CA,90042,5.0,55,8.65
189,Four Cafe,(323) 550-1988,2122 Colorado Blvd,Los Angeles,CA,90041,4.5,32,8.08
190,India's Restaurant,(323) 912-9230,4366 Fountain Ave,Los Angeles,CA,90029,4.0,40,7.37
191,Blu Jam Cafe,(323) 951-9191,7371 Melrose Ave,Los Angeles,CA,90046,4.5,267,8.78
192,Mariscos El Jato,(323) 264-6590,2936 E 4th St,Los Angeles,CA,90033,NA,NA,7.35
193,Mohawk Bend,(213) 483-2337,2141 W Sunset Blvd,Los Angeles,CA,90026,4.5,160,8.65
194,Katsuya Hollywood,(323) 871-8777,6300 Hollywood Blvd,Los Angeles,CA,90028,4.5,565,8.28
195,It's Thai Hometaurant,(213) 484-9383,1311 Glendale Blvd,Los Angeles,CA,90026,NA,NA,NA
196,Good Girl Dinette,(323) 257-8980,110 N Avenue 56,Los Angeles,CA,90042,4.0,10,NA
197,Hurry Curry of Tokyo,(310) 473-1640,2131 Sawtelle Blvd,Los Angeles,CA,90025,4.0,56,NA
198,Baco Mercat,(213) 687-7000,408 S Main St,Los Angeles,CA,90013,4.5,316,NA
199,Manna Korean BBQ,(213) 617-0306,333 S Alameda St,Los Angeles,CA,90013,4.0,50,7.47
200,Pho Café,(323) 378-5770,2841 W Sunset Blvd,Los Angeles,CA,90026,4.0,45,7.63
201,Ham Ji Park,(213) 365-8773,3407 W 6th St,Los Angeles,CA,90020,4.5,17,8.9
202,Beverly Chicken,(323) 660-8200,3909 Beverly Blvd,Los Angeles,CA,90004,NA,NA,NA
203,Manuel’s El Tepeyac Cafe,(323) 268-1960,812 N Evergreen Ave,Los Angeles,CA,90033,NA,NA,NA
204,Gingergrass,(323) 644-1600,2396 Glendale Blvd,Los Angeles,CA,90039,4.0,81,8.3
205,Yamashiro,(323) 337-9400,1999 N Sycamore Ave,Los Angeles,CA,90068,4.0,884,8.53
206,Men Oh Tokushima Ramen,(213) 687-8485,456 E 2nd St,Los Angeles,CA,90012,4.0,9,8.03
207,Button Mash,(213) 250-9903,1391 W Sunset Blvd,Los Angeles,CA,90026,NA,NA,NA
208,Community,(323) 913-0478,2044 Hillhurst Ave,Los Angeles,CA,90027,4.5,12,NA
